Start,End,Mark
61359.42869573334,61359.64869573334,1
61359.65202906667,61359.6953624,0
61359.698695733336,61359.7253624,1
61359.728695733334,61359.838695733335,0
61359.84202906667,61360.18869573333,1
61360.19202906667,61360.24869573334,0
61360.25202906667,61360.43869573333,2
61360.44202906667,61360.5153624,0
61360.518695733335,61360.878695733336,1
61360.88202906667,61361.158695733335,0
61361.16202906667,61361.88480684445,1
61361.88814017778,61361.94147351111,0
61361.94480684445,61362.21480684445,1
61362.21814017778,61362.26147351111,0
61362.26480684445,61362.561473511116,2
61362.56480684445,61362.60147351112,0
61362.60480684445,61362.70480684445,1
61362.70814017778,61362.76480684445,0
61362.76814017778,61363.421473511116,2
61363.42480684445,61363.44480684445,0
61363.44814017778,61363.60147351112,1
61363.60480684445,61363.61147351111,0
61363.614806844445,61363.62480684445,1
