absoluteTime,trialTime,deltaTime,trialIndex,eventType,keyboardValue,xKeyHitLocal,yKeyHitLocal,candidate1,candidate2,candidate3,conditionType,currentText,targetText,eyeTrackingStatus,DesignMatrixCondition
61225.7394428,76.0969,0.0150035,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.7510343,76.10805,0.0111455,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.7623843,76.11958,0.0115399,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.7746433,76.13144,0.0118528,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.7847487,76.14201,0.0105722,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.7960914,76.15332,0.011312,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.8094329,76.1637,0.0103776,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,2
61225.8228989,76.17728,0.0135806,4,GazePinch,,-1.196504,-0.06040446,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,2
61225.8413608,76.19508,0.0177921,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61225.8551274,76.21212,0.0170449,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61225.8709608,76.22648,0.0143616,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61225.8917012,76.24716,0.0206809,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61225.9102432,76.26664,0.0194802,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61225.9222508,76.27865,0.0120094,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61225.9446185,76.30093,0.0222862,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61225.9594698,76.31683,0.0158944,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61225.9776085,76.33032,0.0134884,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61225.9923803,76.34864,0.0183209,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.0032771,76.35984,0.0112013,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
